Elite Adda,Food Court Stall,2901,"Hazratganj Market, Lucknow, Uttar Pradesh 226001",0,"Execution Specialist, Strategic Planner, Opportunity Hunter",HORECA,eliteadda5388@business.com
Spice House,Food Court Stall,3673,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",1304686,"Visionary Innovator, Confident Leader",HORECA,spicehouse4586@business.com
Urban Kitchen,Mall Kiosk,1307,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",2375865,"Persuasive Networker, Execution Specialist, Visionary Innovator",HORECA,urbankitchen8574@business.com
Hyderabadi Adda,Restaurant Space,2980,"FC Road, Shivajinagar, Pune, Maharashtra 411005",2019208,"Execution Specialist, Persuasive Networker, Opportunity Hunter",HORECA,hyderabadiadda5295@business.com
Heritage Dhaba,Standalone Building,2294,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",0,Opportunity Hunter,HORECA,heritagedhaba8627@business.com
Heritage Cafe,Food Court Stall,1979,"Connaught Place, New Delhi, Delhi 110001",4006948,"Strategic Planner, Confident Leader, Opportunity Hunter",HORECA,heritagecafe4065@business.com
Bombay Cafe,Retail Space,1638,"Park Street, Kolkata, West Bengal 700016",0,"Strategic Planner, Execution Specialist",HORECA,bombaycafe5203@business.com
Royal Cafe,Retail Space,1967,"MG Road, Kochi, Kerala 682016",6476137,Persuasive Networker,HORECA,royalcafe853@business.com
Masala Bistro,Retail Space,989,"Park Street, Kolkata, West Bengal 700016",567322,"Strategic Planner, Confident Leader, Visionary Innovator",HORECA,masalabistro6998@business.com
Biryani House,Restaurant Space,2720,"Sector 17 Plaza, Chandigarh 160017",1550187,"Strategic Planner, Visionary Innovator",HORECA,biryanihouse5687@business.com
Kolkata Cafe,Mall Kiosk,2381,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",5936967,"Adaptive Problem Solver, Opportunity Hunter",HORECA,kolkatacafe1339@business.com
Tandoor Kitchen,Mall Kiosk,452,"Janpath Road, Bhubaneswar, Odisha 751001",18151616,Visionary Innovator,HORECA,tandoorkitchen9508@business.com
Desi Street,Food Court Stall,3976,"Brigade Road, Bengaluru, Karnataka 560001",17737405,"Resilient Builder, Confident Leader",HORECA,desistreet6168@business.com
Hungry Bistro,Retail Space,418,"MG Road, Kochi, Kerala 682016",16970552,"Strategic Planner, Visionary Innovator",HORECA,hungrybistro7163@business.com
Velvet Dhaba,Retail Space,1585,"Park Street, Kolkata, West Bengal 700016",0,"Persuasive Networker, Execution Specialist, Adaptive Problem Solver",HORECA,velvetdhaba2442@business.com
Kolkata Bistro,Restaurant Space,2721,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",1059519,"Adaptive Problem Solver, Opportunity Hunter",HORECA,kolkatabistro2197@business.com
Hungry Cafe,Food Court Stall,2254,"SG Highway, Ahmedabad, Gujarat 380015",7573930,"Persuasive Networker, Confident Leader",HORECA,hungrycafe7685@business.com
Desi Cafe,Mall Kiosk,1174,"SG Highway, Ahmedabad, Gujarat 380015",0,"Visionary Innovator, Resilient Builder, Strategic Planner",HORECA,desicafe5610@business.com
Biryani Cafe,Standalone Building,1528,"Ring Road, Surat, Gujarat 395002",6598151,Opportunity Hunter,HORECA,biryanicafe2630@business.com
Chai House,Mall Kiosk,2950,"MG Road, Kochi, Kerala 682016",0,"Confident Leader, Resilient Builder",HORECA,chaihouse3529@business.com
Tandoor Cafe,Standalone Building,3709,"MI Road, Jaipur, Rajasthan 302001",1580399,"Visionary Innovator, Confident Leader",HORECA,tandoorcafe5103@business.com
Hyderabadi Bistro,Restaurant Space,3134,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",3365194,Adaptive Problem Solver,HORECA,hyderabadibistro6475@business.com
Masala Adda,Retail Space,2093,"Banjara Hills Road No 12, Hyderabad, Telangana 500034",1005523,"Execution Specialist, Resilient Builder, Persuasive Networker",HORECA,masalaadda5710@business.com
Chai Street,Retail Space,1077,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",948205,"Strategic Planner, Confident Leader",HORECA,chaistreet5619@business.com
Hyderabadi Dhaba,Standalone Building,2349,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",3320230,"Visionary Innovator, Execution Specialist",HORECA,hyderabadidhaba9215@business.com
Tandoor Cafe,Standalone Building,3086,"Connaught Place, New Delhi, Delhi 110001",5342358,"Strategic Planner, Resilient Builder",HORECA,tandoorcafe4413@business.com
Delhi Adda,Commercial Shop,607,"SG Highway, Ahmedabad, Gujarat 380015",16189309,"Persuasive Networker, Resilient Builder, Visionary Innovator",HORECA,delhiadda4451@business.com
Madras House,Commercial Shop,1337,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",0,"Confident Leader, Adaptive Problem Solver, Visionary Innovator",HORECA,madrashouse4804@business.com
Bombay Cafe,Retail Space,3508,"Janpath Road, Bhubaneswar, Odisha 751001",18181744,Strategic Planner,HORECA,bombaycafe6229@business.com
Royal House,Restaurant Space,405,"Ring Road, Surat, Gujarat 395002",2275015,"Strategic Planner, Confident Leader",HORECA,royalhouse5413@business.com
Kolkata Cafe,Mall Kiosk,3657,"MG Road, Kochi, Kerala 682016",11990300,"Visionary Innovator, Confident Leader, Strategic Planner",HORECA,kolkatacafe3379@business.com
Masala Adda,Commercial Shop,436,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",4910870,"Persuasive Networker, Visionary Innovator, Resilient Builder",HORECA,masalaadda4227@business.com
Delhi Kitchen,Standalone Building,3514,"SG Highway, Ahmedabad, Gujarat 380015",1251264,"Execution Specialist, Visionary Innovator",HORECA,delhikitchen6870@business.com
Biryani Corner,Retail Space,2353,"Ring Road, Surat, Gujarat 395002",0,Execution Specialist,HORECA,biryanicorner5602@business.com
Imperial Dhaba,Restaurant Space,2810,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",16730160,"Opportunity Hunter, Persuasive Networker, Strategic Planner",HORECA,imperialdhaba4319@business.com
Hungry House,Commercial Shop,586,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",0,Opportunity Hunter,HORECA,hungryhouse7086@business.com
Heritage Cafe,Food Court Stall,1800,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",18445403,"Execution Specialist, Visionary Innovator, Confident Leader",HORECA,heritagecafe1533@business.com
Hungry Adda,Standalone Building,2309,"Hazratganj Market, Lucknow, Uttar Pradesh 226001",0,Visionary Innovator,HORECA,hungryadda3389@business.com
Hungry House,Commercial Shop,2310,"Janpath Road, Bhubaneswar, Odisha 751001",6615213,"Confident Leader, Adaptive Problem Solver, Execution Specialist",HORECA,hungryhouse6984@business.com
Golden Kitchen,Mall Kiosk,382,"MG Road, Kochi, Kerala 682016",3254953,"Visionary Innovator, Persuasive Networker, Execution Specialist",HORECA,goldenkitchen6706@business.com
Royal Street,Food Court Stall,2003,"SG Highway, Ahmedabad, Gujarat 380015",0,"Adaptive Problem Solver, Strategic Planner, Opportunity Hunter",HORECA,royalstreet415@business.com
Tandoor Dhaba,Commercial Shop,2035,"Janpath Road, Bhubaneswar, Odisha 751001",3384639,Confident Leader,HORECA,tandoordhaba7087@business.com
Velvet Street,Mall Kiosk,695,"Janpath Road, Bhubaneswar, Odisha 751001",3404674,Opportunity Hunter,HORECA,velvetstreet2324@business.com
Biryani Kitchen,Commercial Shop,649,"Park Street, Kolkata, West Bengal 700016",4329626,"Confident Leader, Persuasive Networker, Opportunity Hunter",HORECA,biryanikitchen2985@business.com
Desi Kitchen,Mall Kiosk,1503,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",4073263,"Adaptive Problem Solver, Confident Leader",HORECA,desikitchen7538@business.com
Tandoor Dhaba,Commercial Shop,2016,"Banjara Hills Road No 12, Hyderabad, Telangana 500034",19903128,"Resilient Builder, Execution Specialist, Adaptive Problem Solver",HORECA,tandoordhaba3845@business.com
Kolkata Corner,Retail Space,671,"Brigade Road, Bengaluru, Karnataka 560001",7218163,"Resilient Builder, Persuasive Networker",HORECA,kolkatacorner1058@business.com
Masala Kitchen,Retail Space,2203,"SG Highway, Ahmedabad, Gujarat 380015",0,"Resilient Builder, Persuasive Networker, Execution Specialist",HORECA,masalakitchen2811@business.com
Urban Bistro,Mall Kiosk,2954,"MI Road, Jaipur, Rajasthan 302001",13172887,"Adaptive Problem Solver, Persuasive Networker",HORECA,urbanbistro3299@business.com
Punjab Dhaba,Restaurant Space,2384,"MG Road, Kochi, Kerala 682016",18345898,Persuasive Networker,HORECA,punjabdhaba1208@business.com
Spice Adda,Standalone Building,373,"Hazratganj Market, Lucknow, Uttar Pradesh 226001",641912,Strategic Planner,HORECA,spiceadda7666@business.com
Biryani House,Commercial Shop,3409,"Sector 17 Plaza, Chandigarh 160017",16035540,"Visionary Innovator, Persuasive Networker",HORECA,biryanihouse7178@business.com
Punjab Kitchen,Commercial Shop,1586,"Banjara Hills Road No 12, Hyderabad, Telangana 500034",0,"Visionary Innovator, Strategic Planner, Resilient Builder",HORECA,punjabkitchen8571@business.com
Spice Kitchen,Food Court Stall,3677,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",13070732,"Adaptive Problem Solver, Persuasive Networker, Visionary Innovator",HORECA,spicekitchen8335@business.com
Spice Dhaba,Commercial Shop,1999,"Park Street, Kolkata, West Bengal 700016",0,"Resilient Builder, Confident Leader, Visionary Innovator",HORECA,spicedhaba3867@business.com
Punjab House,Mall Kiosk,2755,"FC Road, Shivajinagar, Pune, Maharashtra 411005",16153209,"Persuasive Networker, Opportunity Hunter, Strategic Planner",HORECA,punjabhouse8013@business.com
Royal Bistro,Commercial Shop,2536,"FC Road, Shivajinagar, Pune, Maharashtra 411005",4299618,Confident Leader,HORECA,royalbistro9739@business.com
Elite Adda,Standalone Building,3203,"Janpath Road, Bhubaneswar, Odisha 751001",0,"Persuasive Networker, Execution Specialist, Adaptive Problem Solver",HORECA,eliteadda632@business.com
Punjab Corner,Standalone Building,1445,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",0,"Execution Specialist, Strategic Planner",HORECA,punjabcorner623@business.com
Masala Kitchen,Restaurant Space,3752,"Janpath Road, Bhubaneswar, Odisha 751001",7065177,"Confident Leader, Opportunity Hunter",HORECA,masalakitchen2176@business.com
Kolkata Adda,Retail Space,1653,"Sector 17 Plaza, Chandigarh 160017",2546964,Strategic Planner,HORECA,kolkataadda524@business.com
Golden Kitchen,Retail Space,3278,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",0,"Adaptive Problem Solver, Execution Specialist, Persuasive Networker",HORECA,goldenkitchen9835@business.com
Imperial Bistro,Food Court Stall,3021,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",3917256,Resilient Builder,HORECA,imperialbistro3498@business.com
Urban Adda,Standalone Building,2699,"Brigade Road, Bengaluru, Karnataka 560001",0,"Persuasive Networker, Strategic Planner, Confident Leader",HORECA,urbanadda5826@business.com
Elite Cafe,Mall Kiosk,1812,"SG Highway, Ahmedabad, Gujarat 380015",1876717,"Confident Leader, Persuasive Networker, Resilient Builder",HORECA,elitecafe1786@business.com
Desi Dhaba,Standalone Building,3584,"Connaught Place, New Delhi, Delhi 110001",0,"Visionary Innovator, Confident Leader",HORECA,desidhaba610@business.com
Kolkata Corner,Standalone Building,3873,"Banjara Hills Road No 12, Hyderabad, Telangana 500034",3582510,Opportunity Hunter,HORECA,kolkatacorner172@business.com
Madras Bistro,Food Court Stall,2719,"Janpath Road, Bhubaneswar, Odisha 751001",2688011,Visionary Innovator,HORECA,madrasbistro5881@business.com
Madras Corner,Mall Kiosk,3946,"Brigade Road, Bengaluru, Karnataka 560001",16499111,"Strategic Planner, Resilient Builder, Persuasive Networker",HORECA,madrascorner9367@business.com
Kolkata Corner,Retail Space,2024,"FC Road, Shivajinagar, Pune, Maharashtra 411005",5711824,"Confident Leader, Resilient Builder, Strategic Planner",HORECA,kolkatacorner6119@business.com
Elite Adda,Commercial Shop,3462,"Banjara Hills Road No 12, Hyderabad, Telangana 500034",1095509,"Resilient Builder, Execution Specialist",HORECA,eliteadda1040@business.com
Delhi Adda,Restaurant Space,1273,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",16574359,Execution Specialist,HORECA,delhiadda8235@business.com
Golden Kitchen,Standalone Building,3327,"Park Street, Kolkata, West Bengal 700016",9599271,"Confident Leader, Execution Specialist, Strategic Planner",HORECA,goldenkitchen8551@business.com
Tandoor Adda,Retail Space,1213,"Sector 17 Plaza, Chandigarh 160017",0,"Opportunity Hunter, Resilient Builder, Persuasive Networker",HORECA,tandooradda74@business.com
Masala Street,Commercial Shop,2258,"Ring Road, Surat, Gujarat 395002",0,"Visionary Innovator, Execution Specialist",HORECA,masalastreet5343@business.com
Biryani Dhaba,Commercial Shop,1425,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",0,Confident Leader,HORECA,biryanidhaba86@business.com
Hyderabadi Cafe,Standalone Building,2011,"Park Street, Kolkata, West Bengal 700016",3486888,"Execution Specialist, Resilient Builder",HORECA,hyderabadicafe1258@business.com
Punjab Street,Restaurant Space,1701,"Banjara Hills Road No 12, Hyderabad, Telangana 500034",0,"Confident Leader, Persuasive Networker, Adaptive Problem Solver",HORECA,punjabstreet57@business.com
Hungry Adda,Food Court Stall,920,"Ring Road, Surat, Gujarat 395002",1031289,"Strategic Planner, Resilient Builder, Opportunity Hunter",HORECA,hungryadda2619@business.com
Delhi House,Commercial Shop,724,"Brigade Road, Bengaluru, Karnataka 560001",0,Adaptive Problem Solver,HORECA,delhihouse7827@business.com
Bombay Corner,Mall Kiosk,2572,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",0,"Execution Specialist, Strategic Planner",HORECA,bombaycorner1921@business.com
Bombay House,Retail Space,2466,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",7392944,"Execution Specialist, Persuasive Networker",HORECA,bombayhouse4697@business.com
Heritage Kitchen,Restaurant Space,1385,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",3103972,"Confident Leader, Resilient Builder, Visionary Innovator",HORECA,heritagekitchen9651@business.com
Golden Corner,Mall Kiosk,1796,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",0,"Confident Leader, Adaptive Problem Solver, Resilient Builder",HORECA,goldencorner5077@business.com
Velvet Dhaba,Commercial Shop,3609,"Janpath Road, Bhubaneswar, Odisha 751001",4787004,"Visionary Innovator, Opportunity Hunter, Execution Specialist",HORECA,velvetdhaba3769@business.com
Imperial House,Food Court Stall,2487,"SG Highway, Ahmedabad, Gujarat 380015",13049539,Strategic Planner,HORECA,imperialhouse9397@business.com
Hyderabadi Bistro,Retail Space,865,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",818006,"Visionary Innovator, Opportunity Hunter",HORECA,hyderabadibistro3977@business.com
Bombay Kitchen,Restaurant Space,1928,"SG Highway, Ahmedabad, Gujarat 380015",1438895,Execution Specialist,HORECA,bombaykitchen9907@business.com
Hungry Street,Commercial Shop,566,"Sector 17 Plaza, Chandigarh 160017",3372344,Adaptive Problem Solver,HORECA,hungrystreet4807@business.com
Chai House,Food Court Stall,3370,"Hazratganj Market, Lucknow, Uttar Pradesh 226001",0,"Strategic Planner, Confident Leader",HORECA,chaihouse9185@business.com
Elite Cafe,Restaurant Space,3505,"SG Highway, Ahmedabad, Gujarat 380015",0,"Confident Leader, Execution Specialist, Persuasive Networker",HORECA,elitecafe1189@business.com
Golden Cafe,Retail Space,687,"Hazratganj Market, Lucknow, Uttar Pradesh 226001",6985173,"Adaptive Problem Solver, Persuasive Networker",HORECA,goldencafe8072@business.com
Velvet Adda,Standalone Building,1778,"MI Road, Jaipur, Rajasthan 302001",521697,"Visionary Innovator, Adaptive Problem Solver",HORECA,velvetadda153@business.com
Punjab Kitchen,Retail Space,3993,"Banjara Hills Road No 12, Hyderabad, Telangana 500034",12372614,"Execution Specialist, Persuasive Networker, Confident Leader",HORECA,punjabkitchen7829@business.com
Biryani Bistro,Restaurant Space,3369,"Connaught Place, New Delhi, Delhi 110001",19386637,"Execution Specialist, Strategic Planner",HORECA,biryanibistro4815@business.com
Tandoor Bistro,Commercial Shop,850,"FC Road, Shivajinagar, Pune, Maharashtra 411005",0,"Confident Leader, Adaptive Problem Solver, Strategic Planner",HORECA,tandoorbistro4852@business.com
Hungry Adda,Retail Space,2237,"Banjara Hills Road No 12, Hyderabad, Telangana 500034",16549110,Execution Specialist,HORECA,hungryadda4400@business.com
Hyderabadi Kitchen,Food Court Stall,3467,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",7246215,"Visionary Innovator, Persuasive Networker",HORECA,hyderabadikitchen6399@business.com
Desi Corner,Retail Space,1575,"Hazratganj Market, Lucknow, Uttar Pradesh 226001",9253754,Resilient Builder,HORECA,desicorner6314@business.com
Punjab Adda,Food Court Stall,3807,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",12479296,"Execution Specialist, Strategic Planner",HORECA,punjabadda2777@business.com
Madras Street,Commercial Shop,2088,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",8150103,Adaptive Problem Solver,HORECA,madrasstreet5407@business.com
Bombay Cafe,Commercial Shop,1299,"FC Road, Shivajinagar, Pune, Maharashtra 411005",6503294,"Visionary Innovator, Opportunity Hunter, Execution Specialist",HORECA,bombaycafe3367@business.com
Madras Street,Retail Space,2032,"Connaught Place, New Delhi, Delhi 110001",7289506,"Opportunity Hunter, Visionary Innovator",HORECA,madrasstreet7162@business.com
Masala Adda,Retail Space,2463,"SG Highway, Ahmedabad, Gujarat 380015",3102788,"Resilient Builder, Strategic Planner",HORECA,masalaadda9494@business.com
Elite Corner,Food Court Stall,1947,"MI Road, Jaipur, Rajasthan 302001",6174165,"Adaptive Problem Solver, Confident Leader, Opportunity Hunter",HORECA,elitecorner7138@business.com
Heritage Bistro,Retail Space,538,"FC Road, Shivajinagar, Pune, Maharashtra 411005",0,Adaptive Problem Solver,HORECA,heritagebistro787@business.com
Kolkata Dhaba,Food Court Stall,349,"Sector 17 Plaza, Chandigarh 160017",0,"Persuasive Networker, Strategic Planner",HORECA,kolkatadhaba2150@business.com
Biryani Kitchen,Retail Space,1790,"Janpath Road, Bhubaneswar, Odisha 751001",3420849,Execution Specialist,HORECA,biryanikitchen1948@business.com
Hungry Bistro,Standalone Building,903,"Brigade Road, Bengaluru, Karnataka 560001",14144879,Opportunity Hunter,HORECA,hungrybistro9536@business.com
Biryani Street,Standalone Building,3225,"Janpath Road, Bhubaneswar, Odisha 751001",4658286,"Strategic Planner, Opportunity Hunter",HORECA,biryanistreet6200@business.com
Tandoor Adda,Mall Kiosk,559,"Park Street, Kolkata, West Bengal 700016",3564567,"Opportunity Hunter, Execution Specialist, Persuasive Networker",HORECA,tandooradda6334@business.com
Kolkata Kitchen,Mall Kiosk,3037,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",3421542,"Opportunity Hunter, Persuasive Networker, Strategic Planner",HORECA,kolkatakitchen6065@business.com
Bombay Cafe,Standalone Building,486,"SG Highway, Ahmedabad, Gujarat 380015",0,"Resilient Builder, Strategic Planner, Visionary Innovator",HORECA,bombaycafe8085@business.com
Desi Kitchen,Commercial Shop,2113,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",0,"Visionary Innovator, Opportunity Hunter",HORECA,desikitchen2279@business.com
Hungry Dhaba,Food Court Stall,394,"MG Road, Kochi, Kerala 682016",996575,Opportunity Hunter,HORECA,hungrydhaba1330@business.com
Chai Dhaba,Commercial Shop,365,"Connaught Place, New Delhi, Delhi 110001",0,Confident Leader,HORECA,chaidhaba9582@business.com
Madras Corner,Mall Kiosk,2516,"Sector 17 Plaza, Chandigarh 160017",0,Adaptive Problem Solver,HORECA,madrascorner5046@business.com
Kolkata Street,Restaurant Space,2593,"Hazratganj Market, Lucknow, Uttar Pradesh 226001",0,Confident Leader,HORECA,kolkatastreet1553@business.com
Masala Adda,Standalone Building,3655,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",4048952,Visionary Innovator,HORECA,masalaadda9448@business.com
Delhi Dhaba,Commercial Shop,1687,"T Nagar Ranganathan Street, Chennai, Tamil Nadu 600017",17760852,"Persuasive Networker, Strategic Planner",HORECA,delhidhaba9644@business.com
Elite Kitchen,Retail Space,1314,"Ring Road, Surat, Gujarat 395002",1651295,"Persuasive Networker, Execution Specialist",HORECA,elitekitchen5392@business.com
Imperial Corner,Standalone Building,3365,"Brigade Road, Bengaluru, Karnataka 560001",0,"Persuasive Networker, Resilient Builder",HORECA,imperialcorner5159@business.com
Heritage Street,Retail Space,673,"Janpath Road, Bhubaneswar, Odisha 751001",0,"Resilient Builder, Strategic Planner",HORECA,heritagestreet5669@business.com
Spice Dhaba,Food Court Stall,1407,"Hazratganj Market, Lucknow, Uttar Pradesh 226001",0,Adaptive Problem Solver,HORECA,spicedhaba2693@business.com
Spice Dhaba,Standalone Building,2105,"MG Road, Kochi, Kerala 682016",1402203,"Opportunity Hunter, Visionary Innovator, Adaptive Problem Solver",HORECA,spicedhaba4644@business.com
Spice Corner,Food Court Stall,878,"Connaught Place, New Delhi, Delhi 110001",0,"Visionary Innovator, Opportunity Hunter",HORECA,spicecorner8161@business.com
Velvet Corner,Restaurant Space,3462,"Sector 17 Plaza, Chandigarh 160017",5979944,"Opportunity Hunter, Execution Specialist, Visionary Innovator",HORECA,velvetcorner9320@business.com
Royal House,Commercial Shop,2821,"Ring Road, Surat, Gujarat 395002",13155256,Visionary Innovator,HORECA,royalhouse8946@business.com
Golden Adda,Restaurant Space,2196,"Banjara Hills Road No 12, Hyderabad, Telangana 500034",0,"Visionary Innovator, Strategic Planner, Adaptive Problem Solver",HORECA,goldenadda8196@business.com
Chai Corner,Standalone Building,705,"Vijay Nagar Square, Indore, Madhya Pradesh 452010",0,"Strategic Planner, Persuasive Networker, Adaptive Problem Solver",HORECA,chaicorner4934@business.com
Kolkata House,Food Court Stall,2439,"Linking Road, Bandra West, Mumbai, Maharashtra 400050",0,"Opportunity Hunter, Persuasive Networker",HORECA,kolkatahouse90@business.com
Hungry Dhaba,Commercial Shop,2981,"SG Highway, Ahmedabad, Gujarat 380015",0,"Resilient Builder, Visionary Innovator, Opportunity Hunter",HORECA,hungrydhaba8127@business.com
Hyderabadi Dhaba,Standalone Building,680,"Brigade Road, Bengaluru, Karnataka 560001",1901677,Confident Leader,HORECA,hyderabadidhaba701@business.com
