Brand Name,Required Asset Type,Required Asset Size SqFt,Preferred Location,Required Liquid Investment INR,Expected Personality Traits,Industry,Contact Email
Tandoor Station,Commercial Shop,3519,"Kolkata, Telangana",0,Strategic Planner,HORECA,tandoorstation4403@business.com
Madras Meals,Commercial Shop,668,"Indore, Madhya Pradesh",0,Resilient Builder,HORECA,madrasmeals7116@business.com
Velvet Dining,Standalone Building,2056,"Chandigarh, Rajasthan",0,Confident Leader,HORECA,velvetdining4668@business.com
Hyderabadi Food Court,Mall Kiosk,3816,"Indore, Assam",19678263,Opportunity Hunter,HORECA,hyderabadifoodcourt5025@business.com
Signature Lounge,Restaurant Space,2166,"Ahmedabad, Kerala",0,Visionary Innovator,HORECA,signaturelounge4261@business.com
Desi Eatery,Mall Kiosk,3947,"Bhubaneswar, Tamil Nadu",9110081,"Strategic Planner, Confident Leader",HORECA,desieatery1076@business.com
Punjab Food Court,Mall Kiosk,742,"Patna, West Bengal",2900049,"Confident Leader, Strategic Planner, Adaptive Problem Solver",HORECA,punjabfoodcourt4134@business.com
Regal House,Standalone Building,1997,"Bhopal, Telangana",0,"Visionary Innovator, Strategic Planner, Adaptive Problem Solver",HORECA,regalhouse2557@business.com
Bombay Kitchen,Mall Kiosk,1495,"Chennai, Delhi",7436949,"Strategic Planner, Confident Leader",HORECA,bombaykitchen6614@business.com
Imperial Table,Commercial Shop,767,"Patna, Rajasthan",12795974,Visionary Innovator,HORECA,imperialtable4554@business.com
Biryani Spot,Commercial Shop,722,"Hyderabad, Assam",9950506,Confident Leader,HORECA,biryanispot1424@business.com
Kolkata Cafe,Food Court Stall,3454,"Guwahati, West Bengal",0,"Adaptive Problem Solver, Persuasive Networker, Execution Specialist",HORECA,kolkatacafe1013@business.com
Kolkata Eatery,Restaurant Space,517,"Bengaluru, Karnataka",12195425,"Persuasive Networker, Opportunity Hunter, Strategic Planner",HORECA,kolkataeatery5131@business.com
Masti Junction,Food Court Stall,3199,"Indore, Punjab",0,Strategic Planner,HORECA,mastijunction4483@business.com
Bombay Eatery,Food Court Stall,247,"Ahmedabad, Punjab",2961770,"Visionary Innovator, Adaptive Problem Solver",HORECA,bombayeatery4550@business.com
Golden Dining,Retail Space,2700,"Ahmedabad, Punjab",4462955,"Execution Specialist, Adaptive Problem Solver",HORECA,goldendining4606@business.com
Delhi Eatery,Restaurant Space,3927,"Noida, West Bengal",0,"Adaptive Problem Solver, Execution Specialist, Persuasive Networker",HORECA,delhieatery1495@business.com
Desi Eatery,Standalone Building,1105,"Kochi, Gujarat",0,"Adaptive Problem Solver, Persuasive Networker, Strategic Planner",HORECA,desieatery6699@business.com
Masti Adda,Mall Kiosk,3009,"Noida, Rajasthan",17595859,"Strategic Planner, Adaptive Problem Solver",HORECA,mastiadda3159@business.com
Regal Cafe,Standalone Building,2922,"Indore, Odisha",661025,"Persuasive Networker, Execution Specialist",HORECA,regalcafe1794@business.com
Bengal Corner,Food Court Stall,2617,"Bhopal, Odisha",13560543,"Strategic Planner, Opportunity Hunter",HORECA,bengalcorner2869@business.com
Elite Cuisine,Standalone Building,449,"Lucknow, Tamil Nadu",1951339,"Opportunity Hunter, Strategic Planner, Visionary Innovator",HORECA,elitecuisine7407@business.com
Chai Hub,Retail Space,1812,"Kochi, Odisha",0,"Adaptive Problem Solver, Execution Specialist, Resilient Builder",HORECA,chaihub6559@business.com
Bombay Eatery,Standalone Building,3551,"Bhopal, Karnataka",19039730,"Visionary Innovator, Strategic Planner",HORECA,bombayeatery9084@business.com
Crazy Station,Commercial Shop,829,"Bengaluru, Punjab",5954138,"Persuasive Networker, Execution Specialist, Opportunity Hunter",HORECA,crazystation3606@business.com
Bengal Eatery,Commercial Shop,3579,"Guwahati, Tamil Nadu",0,"Execution Specialist, Adaptive Problem Solver",HORECA,bengaleatery7131@business.com
Urban Kitchen,Commercial Shop,1718,"Hyderabad, Madhya Pradesh",10506051,Opportunity Hunter,HORECA,urbankitchen6538@business.com
India Dhaba,Commercial Shop,1206,"Bhopal, Rajasthan",9998465,"Opportunity Hunter, Adaptive Problem Solver, Resilient Builder",HORECA,indiadhaba2644@business.com
Masala Stop,Commercial Shop,2385,"Noida, Uttar Pradesh",0,"Strategic Planner, Persuasive Networker",HORECA,masalastop7110@business.com
Kolkata House,Restaurant Space,2363,"Pune, Kerala",7249269,"Visionary Innovator, Persuasive Networker, Confident Leader",HORECA,kolkatahouse9813@business.com
Bengal Meals,Food Court Stall,3019,"Kochi, Karnataka",17026398,"Confident Leader, Execution Specialist, Visionary Innovator",HORECA,bengalmeals8579@business.com
Imperial Lounge,Retail Space,614,"Pune, Karnataka",0,Adaptive Problem Solver,HORECA,imperiallounge7164@business.com
Spice Bazaar,Restaurant Space,2358,"Hyderabad, Kerala",0,Persuasive Networker,HORECA,spicebazaar7803@business.com
Desi Hub,Restaurant Space,1966,"Jaipur, Rajasthan",1238260,"Visionary Innovator, Confident Leader, Resilient Builder",HORECA,desihub8718@business.com
Royal Table,Restaurant Space,1367,"Noida, West Bengal",1927241,"Resilient Builder, Visionary Innovator",HORECA,royaltable3282@business.com
Tandoor Junction,Mall Kiosk,3909,"Chandigarh, Gujarat",1571192,Execution Specialist,HORECA,tandoorjunction5910@business.com
Biryani Point,Mall Kiosk,489,"Guwahati, Madhya Pradesh",0,Execution Specialist,HORECA,biryanipoint2413@business.com
Hyderabadi Corner,Mall Kiosk,526,"Mumbai, Telangana",0,"Adaptive Problem Solver, Resilient Builder, Visionary Innovator",HORECA,hyderabadicorner4971@business.com
Tandoor Bazaar,Mall Kiosk,3414,"Kochi, Punjab",1396979,Execution Specialist,HORECA,tandoorbazaar23@business.com
Kolkata Corner,Restaurant Space,3253,"Ahmedabad, Maharashtra",1790038,"Strategic Planner, Opportunity Hunter",HORECA,kolkatacorner5437@business.com
Chai Junction,Retail Space,2356,"Jaipur, Maharashtra",11972411,"Confident Leader, Persuasive Networker",HORECA,chaijunction176@business.com
Lucknow House,Commercial Shop,3540,"Kolkata, Kerala",3469549,"Opportunity Hunter, Strategic Planner, Persuasive Networker",HORECA,lucknowhouse5597@business.com
Elite Dining,Commercial Shop,2397,"Indore, Delhi",6591517,"Execution Specialist, Resilient Builder",HORECA,elitedining1995@business.com
Masala Street,Standalone Building,3477,"Ahmedabad, Kerala",13398901,"Execution Specialist, Adaptive Problem Solver",HORECA,masalastreet7390@business.com
Desi Tiffin,Retail Space,2423,"Patna, Gujarat",0,"Confident Leader, Visionary Innovator, Resilient Builder",HORECA,desitiffin2066@business.com
Signature House,Retail Space,3500,"Mumbai, West Bengal",0,Opportunity Hunter,HORECA,signaturehouse3845@business.com
Madras Meals,Standalone Building,3271,"Indore, Kerala",16702831,"Adaptive Problem Solver, Opportunity Hunter, Resilient Builder",HORECA,madrasmeals7777@business.com
Heritage Kitchen,Mall Kiosk,1127,"Chandigarh, Odisha",18556930,Execution Specialist,HORECA,heritagekitchen2778@business.com
Tandoor Street,Mall Kiosk,3085,"Delhi, Delhi",1950791,"Resilient Builder, Adaptive Problem Solver, Execution Specialist",HORECA,tandoorstreet1560@business.com
Regal Bistro,Commercial Shop,2740,"Surat, Odisha",15776801,"Execution Specialist, Visionary Innovator",HORECA,regalbistro4865@business.com
India Eatery,Mall Kiosk,662,"Bhubaneswar, Gujarat",545361,"Execution Specialist, Persuasive Networker, Adaptive Problem Solver",HORECA,indiaeatery9575@business.com
Imperial Bistro,Mall Kiosk,2603,"Kochi, Delhi",383861,Confident Leader,HORECA,imperialbistro1241@business.com
Tandoor Adda,Commercial Shop,464,"Jaipur, Madhya Pradesh",2262611,"Strategic Planner, Resilient Builder, Confident Leader",HORECA,tandooradda9855@business.com
Golden Table,Food Court Stall,3034,"Noida, Telangana",0,Visionary Innovator,HORECA,goldentable7757@business.com
Crazy Bazaar,Standalone Building,1413,"Bengaluru, Gujarat",12192504,"Persuasive Networker, Visionary Innovator",HORECA,crazybazaar6861@business.com
Delhi Dhaba,Commercial Shop,3751,"Jaipur, Uttar Pradesh",2454113,"Opportunity Hunter, Visionary Innovator, Persuasive Networker",HORECA,delhidhaba9469@business.com
Spice Point,Food Court Stall,854,"Ahmedabad, Madhya Pradesh",0,"Confident Leader, Opportunity Hunter",HORECA,spicepoint684@business.com
Masala Hub,Standalone Building,756,"Kochi, Kerala",0,"Visionary Innovator, Persuasive Networker, Confident Leader",HORECA,masalahub3618@business.com
Elite Bistro,Food Court Stall,1263,"Chennai, Gujarat",19352403,"Resilient Builder, Opportunity Hunter",HORECA,elitebistro5040@business.com
Elite Reserve,Mall Kiosk,1964,"Pune, Assam",0,"Confident Leader, Opportunity Hunter",HORECA,elitereserve3787@business.com
Signature Cafe,Standalone Building,3776,"Chennai, Assam",1761399,Visionary Innovator,HORECA,signaturecafe8485@business.com
Bengal Food Court,Food Court Stall,320,"Kochi, Kerala",0,"Execution Specialist, Confident Leader, Strategic Planner",HORECA,bengalfoodcourt4201@business.com
Heritage Dining,Food Court Stall,3781,"Mumbai, Maharashtra",1080917,"Execution Specialist, Opportunity Hunter",HORECA,heritagedining1789@business.com
Masti Station,Food Court Stall,2990,"Jaipur, Rajasthan",0,Confident Leader,HORECA,mastistation6741@business.com
Golden Kitchen,Food Court Stall,1032,"Bengaluru, Uttar Pradesh",10260513,"Opportunity Hunter, Visionary Innovator, Resilient Builder",HORECA,goldenkitchen6557@business.com
Madras Tiffin,Mall Kiosk,3287,"Noida, Maharashtra",18070518,"Confident Leader, Execution Specialist, Persuasive Networker",HORECA,madrastiffin2064@business.com
Royal Platter,Standalone Building,3516,"Bhopal, West Bengal",16395686,"Persuasive Networker, Adaptive Problem Solver",HORECA,royalplatter3276@business.com
Urban Table,Retail Space,2197,"Surat, Assam",18063431,"Opportunity Hunter, Adaptive Problem Solver",HORECA,urbantable4553@business.com
Regal Reserve,Food Court Stall,1030,"Pune, Odisha",0,"Persuasive Networker, Execution Specialist",HORECA,regalreserve8863@business.com
Masti Station,Mall Kiosk,1345,"Pune, Uttar Pradesh",403345,"Confident Leader, Visionary Innovator",HORECA,mastistation9920@business.com
Heritage Lounge,Commercial Shop,2486,"Mumbai, Maharashtra",12303810,Strategic Planner,HORECA,heritagelounge6457@business.com
Biryani Point,Restaurant Space,612,"Chennai, Rajasthan",2256886,"Confident Leader, Adaptive Problem Solver, Execution Specialist",HORECA,biryanipoint225@business.com
Delhi Tiffin,Mall Kiosk,3490,"Kolkata, Kerala",575455,Resilient Builder,HORECA,delhitiffin219@business.com
Velvet Dining,Retail Space,3535,"Chandigarh, Gujarat",12147821,"Adaptive Problem Solver, Execution Specialist",HORECA,velvetdining8911@business.com
India House,Standalone Building,3907,"Delhi, Punjab",0,"Resilient Builder, Confident Leader, Persuasive Networker",HORECA,indiahouse8782@business.com
Punjab House,Commercial Shop,2708,"Chandigarh, Telangana",6568193,Confident Leader,HORECA,punjabhouse9912@business.com
Punjab Corner,Food Court Stall,3526,"Patna, Rajasthan",1606730,Confident Leader,HORECA,punjabcorner2471@business.com
Regal Platter,Mall Kiosk,567,"Mumbai, Delhi",4318876,"Resilient Builder, Confident Leader, Persuasive Networker",HORECA,regalplatter6747@business.com
Lucknow Food Court,Mall Kiosk,1207,"Pune, Punjab",11837086,Adaptive Problem Solver,HORECA,lucknowfoodcourt1264@business.com
Chill Station,Food Court Stall,1982,"Nagpur, Rajasthan",1624033,"Strategic Planner, Persuasive Networker, Adaptive Problem Solver",HORECA,chillstation2337@business.com
Royal Lounge,Restaurant Space,952,"Bhubaneswar, Uttar Pradesh",764789,"Strategic Planner, Opportunity Hunter",HORECA,royallounge5077@business.com
Hyderabadi Meals,Food Court Stall,1633,"Kolkata, Uttar Pradesh",1926556,Strategic Planner,HORECA,hyderabadimeals6406@business.com
Urban Reserve,Retail Space,2283,"Delhi, Delhi",0,"Resilient Builder, Persuasive Networker, Adaptive Problem Solver",HORECA,urbanreserve5188@business.com
India Dhaba,Restaurant Space,1919,"Patna, West Bengal",768691,Confident Leader,HORECA,indiadhaba7486@business.com
Chai Junction,Restaurant Space,685,"Bhopal, Uttar Pradesh",11942257,"Visionary Innovator, Adaptive Problem Solver",HORECA,chaijunction596@business.com
Masti Hub,Standalone Building,3795,"Chennai, Assam",0,"Resilient Builder, Persuasive Networker, Confident Leader",HORECA,mastihub61@business.com
Masti Street,Retail Space,772,"Indore, Karnataka",0,Adaptive Problem Solver,HORECA,mastistreet6725@business.com
Biryani Adda,Restaurant Space,268,"Hyderabad, West Bengal",13715678,Opportunity Hunter,HORECA,biryaniadda7247@business.com
Madras Eatery,Retail Space,3565,"Lucknow, Uttar Pradesh",1910116,"Opportunity Hunter, Visionary Innovator",HORECA,madraseatery9752@business.com
Tandoor Stop,Standalone Building,1732,"Patna, West Bengal",2159585,Strategic Planner,HORECA,tandoorstop9258@business.com
Velvet Kitchen,Commercial Shop,2809,"Noida, Maharashtra",7051522,Execution Specialist,HORECA,velvetkitchen8687@business.com
Signature Cuisine,Restaurant Space,1038,"Bengaluru, Assam",17751545,"Persuasive Networker, Adaptive Problem Solver",HORECA,signaturecuisine6556@business.com
Bombay Corner,Restaurant Space,1842,"Surat, Odisha",0,Persuasive Networker,HORECA,bombaycorner1723@business.com
Hyderabadi Kitchen,Food Court Stall,553,"Delhi, Gujarat",7430980,Resilient Builder,HORECA,hyderabadikitchen2341@business.com
Golden Kitchen,Retail Space,1728,"Lucknow, Assam",812990,"Confident Leader, Resilient Builder, Execution Specialist",HORECA,goldenkitchen2444@business.com
Kolkata Meals,Commercial Shop,2861,"Bhubaneswar, Assam",1915512,Execution Specialist,HORECA,kolkatameals7880@business.com
Signature Bistro,Standalone Building,2270,"Pune, Gujarat",18183873,"Visionary Innovator, Confident Leader",HORECA,signaturebistro6714@business.com
Tandoor Point,Mall Kiosk,3573,"Mumbai, Gujarat",0,"Confident Leader, Persuasive Networker, Adaptive Problem Solver",HORECA,tandoorpoint3638@business.com
Spice Stop,Mall Kiosk,3837,"Pune, Telangana",2045104,"Persuasive Networker, Strategic Planner",HORECA,spicestop8785@business.com
Desi Meals,Restaurant Space,3104,"Pune, Uttar Pradesh",0,Confident Leader,HORECA,desimeals4281@business.com
Masti Corner,Standalone Building,2982,"Chennai, Telangana",1052091,"Resilient Builder, Confident Leader, Opportunity Hunter",HORECA,masticorner8783@business.com
Punjab Eatery,Mall Kiosk,1986,"Kolkata, Tamil Nadu",479074,"Resilient Builder, Opportunity Hunter",HORECA,punjabeatery3480@business.com
Punjab Tiffin,Restaurant Space,3521,"Delhi, Telangana",0,"Execution Specialist, Opportunity Hunter",HORECA,punjabtiffin7874@business.com
Urban Platter,Food Court Stall,1754,"Guwahati, Uttar Pradesh",9391504,"Strategic Planner, Resilient Builder",HORECA,urbanplatter3117@business.com
Urban Dining,Mall Kiosk,3907,"Bhubaneswar, Assam",0,"Persuasive Networker, Visionary Innovator, Adaptive Problem Solver",HORECA,urbandining9554@business.com
Bombay House,Mall Kiosk,3858,"Surat, Rajasthan",13256862,"Confident Leader, Persuasive Networker",HORECA,bombayhouse4178@business.com
Tandoor Stop,Mall Kiosk,1382,"Chennai, West Bengal",5553949,Adaptive Problem Solver,HORECA,tandoorstop1205@business.com
Masala Hub,Commercial Shop,1170,"Ahmedabad, Telangana",669390,"Adaptive Problem Solver, Confident Leader, Persuasive Networker",HORECA,masalahub9010@business.com
Masti Spot,Retail Space,1623,"Kochi, Delhi",17776190,"Execution Specialist, Visionary Innovator",HORECA,mastispot4937@business.com
Elite Lounge,Retail Space,3168,"Bhubaneswar, Assam",11745347,"Visionary Innovator, Resilient Builder, Execution Specialist",HORECA,elitelounge2530@business.com
Urban Bistro,Mall Kiosk,1516,"Noida, Kerala",4075925,Resilient Builder,HORECA,urbanbistro4136@business.com
Signature Kitchen,Commercial Shop,1027,"Patna, Odisha",5483181,"Visionary Innovator, Adaptive Problem Solver, Confident Leader",HORECA,signaturekitchen8293@business.com
Urban House,Food Court Stall,2786,"Nagpur, Maharashtra",13702398,Adaptive Problem Solver,HORECA,urbanhouse2235@business.com
Bengal Corner,Mall Kiosk,1159,"Nagpur, Rajasthan",0,"Execution Specialist, Adaptive Problem Solver, Persuasive Networker",HORECA,bengalcorner3115@business.com
Signature Lounge,Restaurant Space,2014,"Nagpur, Odisha",2540386,Execution Specialist,HORECA,signaturelounge6218@business.com
Delhi Food Court,Food Court Stall,474,"Bhubaneswar, Madhya Pradesh",1539989,"Adaptive Problem Solver, Resilient Builder",HORECA,delhifoodcourt7710@business.com
Golden Reserve,Mall Kiosk,3446,"Surat, Kerala",2642408,"Visionary Innovator, Confident Leader, Strategic Planner",HORECA,goldenreserve3738@business.com
Punjab Tiffin,Mall Kiosk,3127,"Kochi, Madhya Pradesh",8373268,Resilient Builder,HORECA,punjabtiffin275@business.com
Punjab Cafe,Mall Kiosk,3686,"Nagpur, Maharashtra",15555027,Visionary Innovator,HORECA,punjabcafe4018@business.com
Crazy Corner,Restaurant Space,647,"Noida, Punjab",2242186,Confident Leader,HORECA,crazycorner5791@business.com
Desi Hub,Mall Kiosk,1867,"Kolkata, Gujarat",2259078,Adaptive Problem Solver,HORECA,desihub521@business.com
